#x_m,y_m,w_tr_right_m,w_tr_left_m
1.4000000000000004,4.949999999999999,1.1317821063276354,1.2182226450688978
1.3500000000000005,4.900000000000002,1.171393896956216,1.1866068747318506
1.25,4.900000000000002,1.1577379737113251,1.2182226450688978
1.2000000000000002,4.850000000000001,1.2033296378372909,1.1866068747318506
1.0,4.850000000000001,1.2000000000000002,1.265247584249853
0.9500000000000002,4.800000000000001,1.2402921800749365,1.2435349040433132
0.8500000000000005,4.800000000000001,1.220690632574555,1.288238017426859
0.8000000000000007,4.75,1.2628499608087784,1.265247584249853
0.7000000000000002,4.75,1.2532224567009067,1.31245154965971
0.5500000000000007,4.600000000000001,1.25,1.2700318468107583
0.5500000000000007,4.550000000000001,1.2402921800749365,1.2305227865013968
0.5,4.5,1.180709289496085,1.2239750654128172
0.5,4.449999999999999,1.171393896956216,1.1866068747318506
0.4500000000000002,4.400000000000002,1.114213562373095,1.1849242404917497
0.4500000000000002,4.300000000000001,1.1035668847618199,1.114213562373095
0.40000000000000036,4.25,1.0509256086106296,1.114213562373095
0.40000000000000036,4.150000000000002,1.05,1.0435028842544403
0.35000000000000053,4.100000000000001,1.0,1.045362404707371
0.35000000000000053,4.0,1.0,0.9806248474865698
0.3000000000000007,3.950000000000001,0.9500000000000001,0.9903487900563941
0.3000000000000007,3.8500000000000014,0.9500000000000001,0.9349089035228468
0.25,3.8000000000000007,0.9,0.9529964086141668
0.25,3.6500000000000004,0.9,0.8853269591129698
0.20000000000000018,3.6000000000000014,0.8500000000000001,0.9083045973594572
0.20000000000000018,3.4000000000000004,0.8500000000000001,0.840175425099138
0.15000000000000036,3.3500000000000014,0.8,0.876860229593982
0.15000000000000036,2.1000000000000014,0.704987562112089,0.8
0.20000000000000018,2.0500000000000007,0.751189802081432,0.75
0.20000000000000018,0.5500000000000007,0.67082439194738,0.75
0.25,0.5,0.7111874208078343,0.7000000000000001
0.25,-1.299999999999999,0.7111874208078343,0.7000000000000001
0.20000000000000018,-1.3499999999999996,0.67082439194738,0.75
0.20000000000000018,-2.1499999999999986,0.751189802081432,0.75
0.15000000000000036,-2.1999999999999993,0.704987562112089,0.8
0.15000000000000036,-2.6999999999999993,0.818033988749895,0.8
0.10000000000000053,-2.75,0.7793516572461452,0.8500000000000001
0.10000000000000053,-2.9499999999999993,0.840175425099138,0.810180165558726
0.05000000000000071,-3.0,0.8067971810589327,0.8236102527122116
0.05000000000000071,-3.049999999999999,0.8236102527122116,0.7960155108391487
-0.04999999999999982,-3.1500000000000004,0.7735455276791945,0.7960155108391487
-0.04999999999999982,-3.1999999999999993,0.7920164833920778,0.7606601717798214
-0.09999999999999964,-3.25,0.7594810050208546,0.7606601717798214
-0.09999999999999964,-3.5,0.55,0.5902246907382429
-0.04999999999999982,-3.549999999999999,0.532165848854662,0.5200609733428364
-0.04999999999999982,-3.6999999999999993,0.41063352017759486,0.43824115301167005
0.0,-3.75,0.4071067811865476,0.370820393249937
0.0,-4.0,0.2590169943749475,0.3020797289396149
0.05000000000000071,-4.05,0.28523499553598136,0.25000000000000006
0.05000000000000071,-4.55,0.28523499553598136,0.25000000000000006
0.0,-4.6,0.2590169943749475,0.30000000000000004
0.0,-4.699999999999999,0.31032778078668516,0.30000000000000004
-0.04999999999999982,-4.75,0.3020797289396149,0.3500000000000001
-0.04999999999999982,-4.85,0.37268120235368557,0.3500000000000001
-0.09999999999999964,-4.8999999999999995,0.38007352543677225,0.4
-0.09999999999999964,-4.949999999999999,0.4211102550927979,0.4
-0.14999999999999947,-5.0,0.43824115301167005,0.45
-0.14999999999999947,-5.05,0.48262379212492645,0.45
-0.2999999999999998,-5.199999999999999,0.573212459828649,0.6000000000000001
-0.2999999999999998,-5.3,0.67082439194738,0.6000000000000001
-0.34999999999999964,-5.35,0.6394147114027968,0.65
-0.34999999999999964,-5.449999999999999,0.6013878188659973,0.65
-0.2999999999999998,-5.5,0.6340770846134703,0.6000000000000001
-0.2999999999999998,-5.75,0.5544003745317531,0.6000000000000001
-0.25,-5.8,0.5860022573334674,0.5514693182963202
-0.25,-5.949999999999999,0.5276472678623424,0.573212459828649
-0.1999999999999993,-6.0,0.5544003745317531,0.5381527307120105
-0.1999999999999993,-6.05,0.5381527307120105,0.5544003745317531
-0.14999999999999947,-6.1,0.573212459828649,0.5276472678623424
-0.14999999999999947,-6.1499999999999995,0.55,0.55
-0.09999999999999964,-6.199999999999999,0.573212459828649,0.5276472678623424
-0.09999999999999964,-6.3,0.5381527307120105,0.573212459828649
-0.04999999999999982,-6.35,0.573212459828649,0.55
-0.04999999999999982,-6.3999999999999995,0.55,0.574642784226795
0.0,-6.449999999999999,0.573212459828649,0.5602325267042627
0.0,-6.5,0.5544003745317531,0.5902246907382429
0.05000000000000071,-6.55,0.5860022573334674,0.5845903006477066
0.05000000000000071,-6.6,0.573212459828649,0.617877987534291
0.10000000000000053,-6.6499999999999995,0.6013878188659973,0.5944271909999159
0.10000000000000053,-6.699999999999999,0.5860022573334674,0.617877987534291
0.15000000000000036,-6.75,0.6219544457292887,0.5944271909999159
0.15000000000000036,-6.8999999999999995,0.5860022573334674,0.6340770846134703
0.20000000000000018,-6.949999999999999,0.6219544457292887,0.6000000000000001
0.20000000000000018,-7.199999999999999,0.5860022573334674,0.612414379544733
0.25,-7.25,0.6219544457292887,0.573212459828649
0.25,-8.3,0.6000000000000001,0.6617692030835672
0.3000000000000007,-8.35,0.65,0.6219544457292887
0.3000000000000007,-8.55,0.6486832980505138,0.67082439194738
