178,13
177,14
163,14
162,15
149,15
148,16
136,16
135,17
125,17
124,18
115,18
114,19
108,19
107,20
105,20
104,21
102,21
101,22
99,22
98,23
97,23
96,24
95,24
91,28
91,30
90,31
90,48
91,49
91,73
92,74
92,92
93,93
93,112
94,113
94,125
95,126
95,160
94,161
94,170
93,171
93,179
92,180
92,183
91,184
91,187
90,188
90,190
89,191
89,192
88,193
88,195
87,196
87,197
86,198
86,200
85,201
85,203
84,204
84,210
92,210
93,211
94,211
95,212
96,212
97,213
97,214
99,216
99,217
100,218
100,224
99,225
99,226
94,231
93,231
92,232
87,232
86,231
82,231
82,237
83,238
83,241
84,242
84,245
85,246
85,247
86,248
86,250
87,251
87,253
88,254
88,256
89,257
89,258
90,259
90,261
91,262
91,263
92,264
92,266
93,267
93,268
94,269
94,271
95,272
95,275
96,276
96,281
97,282
97,309
98,310
98,324
99,325
99,352
100,353
101,353
102,354
103,354
104,355
105,355
108,358
109,358
110,359
111,359
112,358
113,358
115,356
116,356
117,355
118,355
119,354
207,354
208,353
210,353
211,352
231,352
232,353
234,353
235,354
268,354
269,353
273,353
274,352
278,352
280,350
280,349
281,348
281,347
282,346
282,317
281,316
281,270
280,269
241,269
240,270
239,270
238,271
212,271
211,272
198,272
197,271
196,271
195,270
194,270
192,268
191,268
186,263
186,262
185,261
185,260
184,259
184,257
183,256
183,224
182,223
182,178
181,177
181,162
182,161
182,157
183,156
183,155
184,154
184,153
189,148
189,147
190,146
190,120
191,119
191,108
190,107
190,18
189,17
189,13
