135,55
134,56
132,56
131,57
129,57
128,58
127,58
126,59
125,59
118,66
118,67
117,68
117,70
116,71
116,74
115,75
115,197
113,199
113,200
110,203
110,204
103,211
103,213
102,214
102,252
103,253
103,255
104,256
104,257
105,258
105,259
107,261
107,262
109,264
109,265
110,266
110,267
111,268
111,270
112,271
112,278
113,279
113,288
114,289
114,300
115,301
115,304
116,305
116,307
117,308
117,309
118,310
118,311
126,319
127,319
128,320
129,320
130,321
131,321
132,322
133,322
134,323
135,323
136,324
137,324
138,325
140,325
141,326
144,326
145,327
151,327
152,328
175,328
176,329
232,329
233,328
242,328
243,329
243,331
246,334
247,334
248,335
249,335
250,336
254,336
255,335
256,335
257,334
258,334
260,332
260,331
261,330
261,329
262,328
262,320
265,317
269,317
270,316
271,316
272,315
273,315
275,313
275,312
276,311
276,310
277,309
277,305
276,304
276,303
275,302
275,301
272,298
270,298
269,297
266,297
264,295
264,294
262,292
262,288
261,287
261,286
260,285
260,284
257,281
254,281
253,280
251,280
250,281
247,281
243,285
243,287
242,288
242,292
241,293
241,294
240,295
240,296
239,297
239,299
237,301
222,301
221,302
215,302
214,301
213,301
207,295
206,295
205,294
203,294
202,293
179,293
177,291
176,291
172,287
172,282
171,281
171,272
170,271
170,237
169,236
169,148
170,147
170,96
169,95
169,73
168,72
168,70
167,69
167,68
166,67
166,66
165,65
165,64
161,60
160,60
159,59
158,59
157,58
155,58
154,57
152,57
151,56
146,56
145,55
